ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"218.1.200.202","elite","AS4812","CN","China Telecom","203","N/A","57114","socks5","5111","1","2023-10-16T20:42:48.793Z","47","2017","4328"
"103.84.178.193","elite","AS136279","IN","Glo Internet Services Pvt Ltd","153","Glo  Pvt Ltd","4153","socks4","5088","1","2023-10-16T20:42:48.789Z","100","4252","4266"
"46.98.247.92","elite","AS15377","UA","ISP \"Fregat\"","97","ISP \"Fregat\" Ltd","1080","socks4","4111","1","2023-10-16T20:42:48.792Z","99","4304","4355"
"103.60.138.65","elite","AS134016","IN","Velocity Internet India Private Ltd","192","Velocity Internet India Private Ltd","4153","socks4","4294","1","2023-10-16T20:42:48.792Z","99","4403","4445"
"103.79.96.189","elite","AS64308","ID","PT IndoDev Niaga Internet","186","PT IndoDev Niaga Internet","4153","socks4","410","1","2023-10-16T20:42:36.779Z","100","4400","4408"
"150.158.135.201","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","185","Tencent Cloud Computing (Beijing) Co., Ltd","24289","socks5","4996","1","2023-10-16T20:42:36.689Z","74","3238","4388"
"175.101.15.41","elite","AS17754","IN","ExcellMedia Pvt Ltd","156","Excell Media Pvt Ltd","4153","socks4","2215","1","2023-10-16T20:42:36.690Z","99","4291","4315"
"177.73.248.26","elite","AS262558","BR","Prompt Brasil Solucoes EM TI Ltda","195","Prompt Brasil Solucoes EM TI Ltda","55290","socks4","4997","1","2023-10-16T20:42:36.778Z","59","2530","4294"
"31.172.189.205","elite","AS31242","PL","Fibertech Networks Sp. z o.o","39","Fibertech Networks Sp. z o.o.","1080","socks4","4704","1","2023-10-16T20:42:36.791Z","100","4303","4309"
"190.103.29.101","elite","AS264628","VE","CORPORACION FIBEX TELECOM, C.A.","187","N/A","4145","socks4","4899","1","2023-10-16T20:42:36.688Z","97","4322","4440"
"128.199.214.87","elite","AS14061","SG","DigitalOcean, LLC","166","DigitalOcean, LLC","3128","socks5","5013","2","2023-10-16T20:42:36.689Z","47","2025","4321"
"58.48.122.170","elite","AS4134","CN","Chinanet","239","Chinanet HB","7302","socks5","4992","1","2023-10-16T20:42:36.779Z","85","3744","4414"
"103.245.205.142","elite","AS9441","BD","Next Online Limited","161","Nextonline Limited","35158","socks4","804","1","2023-10-16T20:42:25.485Z","98","4184","4277"
"84.238.244.85","elite","AS47402","BG","Multimedia","84","Multimedia BG EOOD","4145","socks4","5084","1","2023-10-16T20:42:25.488Z","99","4331","4375"
"89.111.133.217","elite","AS48287","RU","JSC \"RU-CENTER\"","95","Center Network","9151","socks5","4800","1","2023-10-16T20:42:25.488Z","100","4393","4397"
"168.138.162.66","elite","AS31898","SG","Oracle Corporation","327","Oracle Public Cloud","1080","socks4","5097","2","2023-10-16T20:42:25.487Z","70","3000","4281"
"69.63.73.234","elite","AS19711","SZ","Swaziland Posts & Telecommunications Corp.","199","Eswatini PTC - corporate","5678","socks4","4497","1","2023-10-16T20:42:14.188Z","98","4332","4402"
"85.208.252.138","elite","AS212036","IR","Parsway Shomal Company Ltd","110","RasaAbrPardazeshIranian GeevCloud","9050","socks4","2289","1","2023-10-16T20:42:14.186Z","69","3033","4403"
"31.210.225.135","elite","AS42666","ES","Embou Clientes","479","N/A","4153","socks4","5001","1","2023-10-16T20:42:14.187Z","83","3570","4304"
"155.138.238.14","elite","AS20473","US","The Constant Company","93","Vultr Holdings, LLC","808","socks5","4797","1","2023-10-16T20:42:14.189Z","100","4394","4401"
"182.53.129.81","elite","AS23969","TH","TOT Public Company Limited","198","TOT Public Company Limited","5678","socks4","4199","1","2023-10-16T20:42:02.894Z","44","1888","4268"
"213.149.103.133","elite","AS8585","ME","Crnogorski Telekom a.d.Podgorica","40","T ComServeri","61859","socks5","4813","1","2023-10-16T20:42:02.984Z","100","4392","4401"
"103.192.76.36","elite","AS55915","NP","Classic Tech Pvt. Ltd.","195","Classic Support Pvt. Ltd","5678","socks4","4695","1","2023-10-16T20:42:02.893Z","95","4238","4445"
"94.20.21.7","elite","AS29049","AZ","Delta Telecom","88","N/A","4153","socks4","4693","1","2023-10-16T20:42:02.894Z","100","4354","4369"
"103.66.233.141","elite","AS134014","IN","NET 4 U SERVICES","144","N/A","4145","socks4","5796","1","2023-10-16T20:42:02.894Z","75","3277","4351"
"103.83.178.205","elite","AS136065","ID","PT SOLUSI TRIMEGAH PERSADA","191","PT SOLUSI TRIMEGAH PERSADA","2016","socks4","2714","1","2023-10-16T20:41:51.491Z","99","4290","4352"
"103.79.96.165","elite","AS64308","ID","PT IndoDev Niaga Internet","194","PT IndoDev Niaga Internet","4153","socks4","5096","1","2023-10-16T20:41:51.487Z","100","4391","4400"
"38.127.179.140","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","11537","socks4","4000","1","2023-10-16T20:41:51.490Z","100","4304","4310"
"103.70.159.154","elite","AS133720","IN","speednet","189","N/A","5678","socks4","3605","2","2023-10-16T20:41:51.488Z","99","4366","4410"
"5.9.141.151","elite","AS24940","DE","Hetzner Online GmbH","91","Hetzner","30000","socks4","794","1","2023-10-16T20:41:51.490Z","100","4362","4362"
"38.127.179.26","elite","AS174","US","Cogent Communications","79","Torlandia Trading SRL","42908","socks4","5000","1","2023-10-16T20:41:51.586Z","100","4365","4373"
"43.134.167.51","elite","AS132203","SG","Aceville Pte.ltd","314","N/A","443","socks5","4897","1","2023-10-16T20:41:40.285Z","76","3337","4417"
"159.192.253.92","elite","AS131090","TH","CAT-BB","291","N/A","4145","socks4","4912","1","2023-10-16T20:41:40.288Z","76","3269","4293"
"117.54.201.93","elite","AS9340","ID","PT IndoInternet","197","N/A","5678","socks4","4615","1","2023-10-16T20:41:40.284Z","99","4292","4345"
"192.3.54.198","elite","AS36352","US","ColoCrossing","98","RackNerd LLC","3128","socks4","2218","1","2023-10-16T20:41:40.378Z","100","4465","4465"
"79.127.127.7","elite","AS43754","IR","Asiatech Data Transmission company","96","Asiatech Data Transmission company","1369","socks4","5000","1","2023-10-16T20:41:29.074Z","92","4079","4410"
"103.213.245.105","elite","AS18254","HK","Klayer LLC","203","N/A","4003","socks5","5093","2","2023-10-16T20:41:28.982Z","92","3969","4317"
"91.210.98.61","elite","AS50712","RU","Kavkaz Internet Service Ltd.","75","Kavkaz Internet Service Ltd.","4145","socks4","4412","1","2023-10-16T20:41:28.994Z","99","4324","4362"
"45.172.108.53","elite","AS265741","AR","GPS SANJUAN SRL.","283","N/A","9991","socks4","5090","1","2023-10-16T20:41:28.981Z","91","3916","4327"
"103.130.113.129","elite","AS138336","BD","The Potato","199","N/A","5678","socks4","4806","1","2023-10-16T20:41:28.980Z","83","3626","4369"
"186.233.160.4","elite","AS53050","BR","Super Cabo TV Caratinga Ltda","285","Super Cabo TV Caratinga Ltda","5678","socks4","4899","1","2023-10-16T20:41:17.490Z","41","1790","4314"
"185.39.71.197","elite","AS62332","ES","Telplay","81","Telplay SL","46610","socks4","3901","1","2023-10-16T20:41:17.488Z","89","3864","4326"
"197.234.13.66","elite","AS36902","SC","Intelvision","166","Intelvision Ltd","4145","socks4","2211","1","2023-10-16T20:41:17.487Z","100","4326","4343"
"131.221.64.152","elite","AS265798","AR","Level Seven SRL","286","Level Seven SRL","2350","socks4","1201","1","2023-10-16T20:41:17.491Z","90","3776","4206"
"185.16.12.137","elite","AS35567","BA","DASTO Semtel doo","182","N/A","5678","socks4","4984","1","2023-10-16T20:41:17.488Z","99","4368","4423"
"186.251.255.149","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","214","Seanet Telecom Carazinho Eireli","31337","socks4","3109","1","2023-10-16T20:41:06.581Z","99","4321","4351"
"203.24.109.80","elite","AS209242","BZ","Cloudflare London, LLC","84","Umpire Associates LTD","80","socks5","4811","2","2023-10-16T20:41:06.581Z","100","4340","4340"
"114.234.80.209","elite","AS4134","CN","Chinanet","191","Chinanet JS","5678","socks4","4989","1","2023-10-16T20:41:06.578Z","69","3081","4448"
"136.244.89.35","elite","AS20473","DE","The Constant Company","10","Vultr Holdings, LLC","10487","socks4","4693","1","2023-10-16T20:41:06.580Z","39","1725","4394"
"113.110.23.229","elite","AS4134","CN","Chinanet","279","Chinanet GD","44844","socks4","4996","1","2023-10-16T20:41:06.582Z","39","1716","4393"
"188.214.129.3","elite","AS16125","LT","UAB Cherry Servers","40","N/A","4048","socks5","1995","1","2023-10-16T20:41:06.580Z","84","3613","4278"
"157.245.59.71","elite","AS14061","SG","DigitalOcean, LLC","181","DigitalOcean, LLC","42765","socks4","2699","1","2023-10-16T20:40:55.291Z","100","4394","4395"
"155.0.202.254","elite","AS37532","ZM","Zambia Research and Education Network","300","Zambia Research and Education Network","51327","socks4","593","1","2023-10-16T20:40:55.289Z","89","3922","4405"
"194.36.98.231","elite","AS203020","PT","HostRoyale Technologies Pvt Ltd","31","In Hostroyale","80","socks4","856","1","2023-10-16T20:40:55.289Z","100","4359","4362"
"103.229.85.22","elite","AS133443","BD","Ashfakur Rahman Chowdhury t/a Comilla Online","190","N/A","4145","socks4","4495","1","2023-10-16T20:40:55.287Z","99","4385","4446"
"104.129.205.15","elite","AS22616","US","ZSCALER, INC.","94","Zscaler, Inc.","10289","socks5","4806","1","2023-10-16T20:40:55.290Z","94","4084","4355"
"45.196.151.73","elite","AS7018","US","AT&T Services, Inc.","87","AQUA Networks Limited","5432","socks4","207","1","2023-10-16T20:40:47.046Z","98","4280","4364"
"194.79.44.158","elite","AS49545","RU","StroyTelecom-Yug Ltd","71","StroyTelecom-Yug Ltd","3128","socks5","525","1","2023-10-16T20:40:46.268Z","100","4304","4311"
"36.92.36.42","elite","AS7713","ID","Telekomunikasi Indonesia","244","Temporary","4153","socks4","2502","83","2023-10-16T20:40:45.338Z","92","4046","4410"
"185.56.246.76","elite","AS41026","PL","KOPnet S.C. Marek Szczudlo Juliusz Kostrzewski","87","Kopnet","8291","socks4","2291","1","2023-10-16T20:40:45.036Z","99","4399","4452"
"116.26.10.19","elite","AS4134","CN","Chinanet","218","Chinanet GD","7891","socks4","5006","1","2023-10-16T20:40:44.085Z","46","2035","4426"
"125.161.141.186","elite","AS7713","ID","PT. TELKOM INDONESIA","185","N/A","80","socks5","4397","1","2023-10-16T20:40:44.085Z","87","3793","4344"
"178.252.199.46","elite","AS24689","RU","CJSC Rosintel","63","JSC \"Rosintel\"","4153","socks4","2208","1","2023-10-16T20:40:44.087Z","99","4346","4399"
"88.135.40.26","elite","AS57391","IR","Laser Company Ltd","98","Laser Company Ltd","4153","socks4","4606","82","2023-10-16T20:40:44.735Z","68","2948","4323"
"178.212.65.61","elite","AS47939","RU","TDV \"Teleradio company \"Yalta\"","84","Yaltatvnet","3629","socks4","64","1","2023-10-16T20:40:44.084Z","96","4195","4384"
"45.70.206.40","elite","AS267586","BR","Rafael Pierre Barbosa - Me","186","Rafael Pierre Barbosa - Me","4145","socks4","3919","1","2023-10-16T20:40:44.137Z","100","4396","4405"
"89.191.237.89","elite","AS12389","RU","PJSC Rostelecom","99","PJSC Rostelecom","5678","socks4","3801","1","2023-10-16T20:40:44.094Z","100","4346","4367"
"103.109.59.209","elite","AS138640","BD","Skynet Chowmuhani","186","N/A","1080","socks4","3898","1","2023-10-16T20:40:44.084Z","98","4329","4399"
"173.212.250.16","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","37712","socks4","241","1","2023-10-16T20:40:44.710Z","100","4257","4258"
"78.137.58.119","elite","AS25133","UA","broadband","42","N/A","5678","socks4","3784","1","2023-10-16T20:40:44.142Z","75","3264","4341"
"178.212.48.84","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","88","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","2989","1","2023-10-16T20:40:44.086Z","100","4439","4445"
"47.115.162.7","elite","AS37963","CN","Addresses CNNIC","290","Aliyun Computing Co., LTD","8060","socks5","3894","1","2023-10-16T20:40:44.141Z","81","3545","4391"
"171.232.74.46","elite","AS7552","VN","Viettel Corporation","349","VIETEL","4005","socks4","1391","1","2023-10-16T20:40:43.408Z","92","3983","4328"
"165.84.180.22","elite","AS10103","HK","Hong Kong Broadband Network Ltd","243","Hong Kong Broadband Network Ltd","56695","socks4","825","1","2023-10-16T20:40:43.405Z","97","4263","4378"
"36.67.136.27","elite","AS7713","ID","PT. Telekomunikasi Indonesia","186","N/A","5678","socks4","2200","1","2023-10-16T20:40:43.315Z","98","4270","4354"
"89.39.100.173","elite","AS8926","MD","Moldtelecom SA","96","JSC Moldtelecom S.A.","31041","socks5","4617","1","2023-10-16T20:40:43.435Z","100","4346","4358"
"177.223.224.17","elite","AS52559","BR","Novatec Telecom Ltda","199","Novatec Telecom Ltda","4153","socks4","4186","1","2023-10-16T20:40:42.937Z","99","4316","4345"
"167.71.208.252","elite","AS14061","SG","DigitalOcean, LLC","182","DigitalOcean, LLC","8080","socks4","3213","1","2023-10-16T20:40:42.646Z","73","3190","4360"
"80.26.55.178","elite","AS3352","ES","TDENET (Red de servicios IP)","98","N/A","3352","socks4","4812","1","2023-10-16T20:40:42.333Z","100","4333","4350"
"35.190.107.16","elite","AS15169","US","Google LLC","2","Google LLC","30000","socks4","4993","1","2023-10-16T20:40:41.546Z","100","4316","4316"
"179.60.243.38","elite","AS262215","CO","ITELKOM","184","ITELKOM","48699","socks4","4797","1","2023-10-16T20:40:40.445Z","100","4387","4405"
"139.59.249.213","elite","AS14061","SG","DigitalOcean, LLC","193","Digital Ocean","60432","socks5","5516","1","2023-10-16T20:40:40.248Z","83","3529","4257"
"89.237.34.193","elite","AS20485","RU","multi-origin SUTTK","85","N/A","51549","socks4","5000","1","2023-10-16T20:40:40.245Z","99","4365","4417"
"51.77.73.67","elite","AS16276","ES","OVH SAS","82","Sastre Vazquez Antonio","31979","socks4","4791","8","2023-10-16T20:40:40.442Z","100","4382","4388"
"27.156.212.86","elite","AS4134","CN","Chinanet","209","N/A","8004","socks4","4789","1","2023-10-16T20:40:39.434Z","10","408","4291"
"183.89.116.141","elite","AS45629","TH","Triple T Broadband Public Company Limited","188","Triple T Broadband Public Company Limited","4145","socks4","3095","1","2023-10-16T20:40:39.350Z","89","3931","4403"
"190.152.12.54","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","187","Corporacion Nacional De Telecomunicaciones - CNT EP","47017","socks4","4391","1","2023-10-16T20:40:37.542Z","99","4335","4400"
"103.84.178.2","elite","AS136279","IN","Glo Internet Services Pvt Ltd","197","Glo  Pvt Ltd","4153","socks4","5005","1","2023-10-16T20:40:37.543Z","100","4347","4359"
"45.112.125.53","elite","AS58369","ID","FIBERNET","164","N/A","4145","socks4","1693","1","2023-10-16T20:40:37.540Z","99","4276","4323"
"70.60.230.8","elite","AS11426","US","Spectrum","97","Fastlink Communications Inc","34116","socks4","2606","1","2023-10-16T20:40:37.746Z","100","4398","4410"
"85.143.213.2","elite","AS201848","RU","Trader soft LLC","40","TIMES","9050","socks5","4309","1","2023-10-16T20:40:37.535Z","99","4319","4373"
"109.236.47.242","elite","AS35047","AL","Abissnet PPPoE","41","N/A","4145","socks4","2485","1","2023-10-16T20:40:37.749Z","99","4392","4418"
"104.131.94.90","elite","AS14061","US","DigitalOcean, LLC","82","Digital Ocean","51346","socks5","5011","1","2023-10-16T20:40:35.742Z","100","4231","4243"
"58.246.245.122","elite","AS17621","CN","CNC Group CHINA169 Shanghai Province Network","252","N/A","4153","socks4","4694","1","2023-10-16T20:40:35.739Z","86","3780","4392"
"31.204.28.136","elite","AS209372","US","SIA \"Singularity Telecom\"","92","Popov Andry Vasilievich","5432","socks5","5099","1","2023-10-16T20:40:35.240Z","100","4334","4345"
"223.25.98.82","elite","AS9341","ID","PT Indonesia Comnets Plus","209","Sinerginet","5678","socks4","4797","1","2023-10-16T20:40:33.947Z","87","3876","4462"
"173.230.147.173","elite","AS63949","US","Akamai Technologies, Inc.","145","Linode","19527","socks4","2020","1","2023-10-16T20:40:33.637Z","100","4423","4428"
"124.222.119.189","elite","AS45090","CN","China Internet Network Information Center","293","Tencent cloud computing (Beijing) Co., Ltd.","2080","socks5","4308","1","2023-10-16T20:40:33.945Z","62","2712","4358"
"109.73.191.101","elite","AS49924","IT","ECROM-MAIN","94","N/A","5678","socks4","4606","1","2023-10-16T20:40:33.950Z","75","3315","4410"
"202.124.43.249","elite","AS9902","KH","NeocomISP Limited","169","NeocomISP Limited","4145","socks4","4595","1","2023-10-16T20:40:33.638Z","99","4381","4412"
"23.228.98.157","elite","AS46573","US","LayerHost","186","LayerHost","80","socks5","4018","1","2023-10-16T20:40:32.781Z","61","2665","4383"
"103.79.96.202","elite","AS64308","ID","PT IndoDev Niaga Internet","190","PT IndoDev Niaga Internet","4153","socks4","4703","1","2023-10-16T20:40:32.782Z","100","4437","4443"
"138.197.138.160","elite","AS14061","CA","DigitalOcean, LLC","94","DigitalOcean, LLC","10181","socks5","4595","1","2023-10-16T20:40:32.784Z","100","4429","4431"
"64.26.95.14","elite","AS6189","US","Enoch-Pratt Free Library","91","Sailor","8080","socks4","4011","1","2023-10-16T20:40:32.779Z","100","4373","4375"
"110.185.102.103","elite","AS38283","CN","CHINANET SiChuan Telecom Internet Data Center","233","Chinanet SC","51800","socks4","4604","1","2023-10-16T20:40:30.433Z","80","3467","4348"
"210.213.90.26","elite","AS9299","PH","Philippine Long Distance Telephone Co.","197","Philippine Long Distance Telephone Co","8080","socks4","5408","1","2023-10-16T20:40:30.434Z","98","4274","4378"
"104.16.224.33","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1214","1","2023-10-16T20:40:30.436Z","100","4440","4443"
"79.154.189.19","elite","AS3352","ES","RIMA (Red IP Multi Acceso)","27","N/A","8080","socks5","4198","1","2023-10-16T20:40:30.350Z","98","4220","4290"
"31.13.33.4","elite","AS8732","RU","JSC Comcor","53","Comcor","8080","socks5","4294","1","2023-10-16T20:40:30.438Z","100","4328","4332"
"43.157.32.230","elite","AS132203","DE","Aceville Pte.ltd","12","N/A","443","socks5","1098","1","2023-10-16T20:40:30.343Z","72","3121","4305"
"103.47.93.207","elite","AS134058","IN","Broban Internet Services Pvt.ltd","184","Broban  PVT Ltd.","1080","socks4","3994","1","2023-10-16T20:40:30.341Z","99","4255","4290"
"177.38.5.45","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","299","FÁBIO MENDES DIAS LTDA ME","4153","socks4","2203","1","2023-10-16T20:40:28.535Z","91","4005","4396"
"110.78.141.77","elite","AS131090","TH","CAT-BB","254","N/A","4145","socks4","5096","1","2023-10-16T20:40:26.147Z","69","3006","4341"
"110.42.246.153","elite","AS45090","CN","China Internet Network Information Center","199","Tencent cloud computing (Beijing) Co., Ltd.","2080","socks4","4392","1","2023-10-16T20:40:26.145Z","15","673","4408"
"51.195.40.191","elite","AS16276","DE","OVH SAS","88","OVH GmbH","8804","socks4","3695","1","2023-10-16T20:40:26.150Z","83","3612","4371"
"151.232.18.66","elite","AS58224","IR","Iran Telecommunication Company PJS","114","N/A","5678","socks4","4811","1","2023-10-16T20:40:26.144Z","90","3965","4428"
"212.83.136.242","elite","AS12876","FR","Online S.A.S.","90","ONLINE","5836","socks4","4806","1","2023-10-16T20:40:26.148Z","100","4384","4388"
"69.163.166.93","elite","AS26347","US","New Dream Network, LLC","185","New Dream Network, LLC","3838","socks5","4589","1","2023-10-16T20:40:26.141Z","100","4431","4434"
"103.47.95.81","elite","AS134058","IN","Broban Internet Services PVT Ltd.","190","Broban  PVT Ltd.","1080","socks4","3796","1","2023-10-16T20:40:23.937Z","99","4379","4403"
"45.76.182.145","elite","AS20473","SG","The Constant Company","166","Vultr Holdings, LLC","15560","socks4","5003","1","2023-10-16T20:40:23.847Z","99","4386","4421"
"61.247.180.182","elite","AS38031","BD","Optimax Communication Ltd.","199","OptiMax Communication Ltd","10800","socks4","2208","82","2023-10-16T20:40:23.935Z","99","4416","4441"
"134.119.190.185","elite","AS29066","FR","Host Europe GmbH","13","Bogdan Gribov","14182","socks5","2910","1","2023-10-16T20:40:21.476Z","100","4350","4353"
"186.211.6.137","elite","AS53156","BR","PortalSAT Telecom","189","eliziane oliveira sobrinho","4145","socks4","596","1","2023-10-16T20:40:21.391Z","99","4325","4388"
"47.242.155.132","elite","AS45102","HK","Alibaba.com LLC","300","Hong Kong","10900","socks4","4503","1","2023-10-16T20:40:21.394Z","100","4321","4331"
"47.243.207.3","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","281","Alibaba.com LLC","33967","socks5","5092","82","2023-10-16T20:40:21.438Z","70","3033","4329"
"117.24.80.210","elite","AS4134","CN","Chinanet","288","Chinanet FJ","3829","socks4","4990","2","2023-10-16T20:40:21.436Z","56","2465","4386"
"36.89.135.207","elite","AS7713","ID","PT. Telekomunikasi Indonesia","283","Telekomunikasi Indonesia","5678","socks4","5084","2","2023-10-16T20:40:21.393Z","54","2364","4400"
"121.4.166.166","elite","AS45090","CN","China Internet Network Information Center","190","Tencent cloud computing (Beijing) Co., Ltd.","38080","socks5","4914","1","2023-10-16T20:40:21.392Z","85","3642","4308"
"64.25.54.2","elite","AS35977","US","Amdocs Inc.","131","Amdocs Inc","45160","socks4","589","1","2023-10-16T20:40:21.439Z","100","4347","4347"
"103.10.210.17","elite","AS45804","IN","Meghbela Broadband","276","Meghbela Cable & Broadband Services (P) Ltd","44550","socks4","892","1","2023-10-16T20:40:19.334Z","99","4399","4447"
"91.216.254.14","elite","AS212918","ES","Clicktel SL","57","Clicktel SL","55555","socks4","5096","1","2023-10-16T20:40:19.248Z","95","4147","4368"
"114.99.10.131","elite","AS4134","CN","Chinanet","285","Chinanet AH","8004","socks4","4894","1","2023-10-16T20:40:19.247Z","54","2354","4378"
"66.42.60.190","elite","AS20473","SG","Choopa","192","N/A","21358","socks5","5596","1","2023-10-16T20:40:19.337Z","88","3845","4372"
"114.231.243.232","elite","AS4134","CN","Chinanet","198","Chinanet JS","8908","socks4","5196","80","2023-10-16T20:40:19.251Z","50","2193","4366"
"203.30.189.103","elite","AS209242","BZ","Cloudflare London, LLC","89","Umpire Associates LTD","80","socks4","4492","1","2023-10-16T20:40:19.243Z","100","4312","4312"
"182.253.173.18","elite","AS17451","ID","Biznet Metronet","181","N/A","4153","socks4","4794","1","2023-10-16T20:40:17.036Z","95","4141","4345"
"173.245.49.27","elite","AS13335","FR","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4805","1","2023-10-16T20:40:17.032Z","100","4354","4354"
"169.239.236.101","elite","AS327986","NG","Gutti Global Networks","140","Gutti Global Networks","10801","socks4","4502","1","2023-10-16T20:40:16.950Z","98","4332","4428"
"92.60.190.22","elite","AS41540","UA","Wnet Ukraine LLC","43","Unlimitedfiber","59816","socks4","210","1","2023-10-16T20:40:13.252Z","49","2188","4459"
"161.97.97.231","elite","AS51167","DE","Contabo GmbH","19","Contabo GmbH","10050","socks4","421","1","2023-10-16T20:40:13.739Z","98","4363","4432"
"110.34.166.181","elite","AS45652","SG","VPLS, Inc.","318","Vpls Sin1","4153","socks4","2697","1","2023-10-16T20:40:13.334Z","99","4306","4346"
"103.76.188.33","elite","AS135758","IN","Alacriy Net System Service Private Limited","182","Alacriy Net System Service Private Limited","4153","socks4","346","1","2023-10-16T20:40:13.339Z","99","4331","4362"
"14.63.1.108","elite","AS4766","KR","Korea Telecom","278","Kornet","4145","socks4","4918","1","2023-10-16T20:40:13.253Z","100","4315","4320"
"193.136.14.120","elite","AS1930","PT","Fundacao para a Ciencia e a Tecnologia, I.P.","61","N/A","80","socks4","1490","1","2023-10-16T20:40:10.538Z","94","4198","4483"
"193.106.57.96","elite","AS42510","UA","Magic Line","42","PE \"Magic-line\"","5678","socks4","3006","1","2023-10-16T20:40:10.549Z","92","4035","4409"
"37.187.144.55","elite","AS16276","FR","OVH SAS","6","OVH SAS","9050","socks4","4598","1","2023-10-16T20:40:10.733Z","100","4413","4413"
"203.23.104.167","elite","AS209242","CY","Cloudflare London, LLC","83","Lachtaristo Holdings Limited","80","socks5","4915","1","2023-10-16T20:40:10.544Z","100","4401","4401"
"104.21.6.88","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4401","1","2023-10-16T20:40:10.542Z","100","4292","4293"
"184.168.146.10","elite","AS26496","US","GoDaddy.com, LLC","196","GoDaddy.com, LLC","64426","socks4","5083","1","2023-10-16T20:40:10.545Z","95","4161","4368"
"116.58.224.33","elite","AS131090","TH","CAT-BB","285","N/A","8080","socks5","4498","82","2023-10-16T20:40:10.541Z","81","3507","4306"
"101.43.3.207","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","204","Tencent Cloud Computing (Beijing) Co., Ltd","2080","socks4","3992","1","2023-10-16T20:40:09.192Z","66","2830","4311"
"177.36.185.182","elite","AS53062","BR","Ggnet Telecom Backbone","282","Ggnet Telecom Backbone","5678","socks4","4804","1","2023-10-16T20:40:09.193Z","99","4354","4408"
"165.227.112.138","elite","AS14061","US","DigitalOcean, LLC","100","DigitalOcean, LLC","1080","socks4","4492","1","2023-10-16T20:40:09.474Z","66","2855","4339"
"190.180.35.148","elite","AS25620","BO","Cotas Ltda.","205","Cablemodem-ip-dinamica - Generico IP Cmts HMC","5678","socks4","5194","1","2023-10-16T20:40:09.190Z","99","4358","4394"
"88.198.219.62","elite","AS24940","DE","Hetzner Online GmbH","22","Hetzner","80","socks4","4894","1","2023-10-16T20:40:09.192Z","100","4363","4369"
"222.129.33.169","elite","AS4808","CN","China Unicom Beijing Province Network","179","N/A","57114","socks4","4600","1","2023-10-16T20:40:09.193Z","84","3637","4355"
"110.78.141.219","elite","AS131090","TH","CAT-BB","280","N/A","4145","socks4","5087","1","2023-10-16T20:40:09.191Z","69","3038","4395"
